"date","site","name","x","y","z","species","observer","note"
"22/02/2022","surprise","4",45.15095,-12.630232,4.7,"Isopora palifera","FG",""
"22/02/2022","surprise","15",45.150962,-12.630219,4.8,"Goniastrea retiformis","AC",""
"22/02/2022","surprise","11",45.150993,-12.630314,3,"Goniastrea retiformis","AC",""
"22/02/2022","surprise","17",45.15094,-12.630318,4.4,"Hydnophora exaesa","AC",""
"22/02/2022","surprise","1",45.15092,-12.630321,2.5,"Isopora palifera","FG",""
"22/02/2022","surprise","2",45.150918,-12.630329,2.7,"Isopora palifera","FG",""
"22/02/2022","surprise","12",45.15089,-12.630346,5.2,"Goniastrea retiformis","AC",""
"22/02/2022","surprise","18",45.150899,-12.63035,4.6,"Hydnophora exaesa","AC",""
"22/02/2022","surprise","8",45.150917,-12.630392,5.4,"Pocillopora damicornis","SB",""
"22/02/2022","surprise","9",45.150949,-12.630392,5,"Pocillopora damicornis","SB",""
"22/02/2022","surprise","10",45.150963,-12.630377,5,"Pocillopora damicornis","SB",""
"22/02/2022","surprise","6",45.150922,-12.630369,4.7,"Pocillopora damicornis","SB",""
"22/02/2022","surprise","13",45.150928,-12.63034,4.8,"Goniastrea retiformis","AC",""
"22/02/2022","surprise","19",45.150942,-12.630293,4.1,"Hydnophora exaesa","AC",""
"22/02/2022","surprise","3",45.15088,-12.630297,4.8,"Isopora palifera","FG",""
"22/02/2022","surprise","14",45.150963,-12.630338,5,"Goniastrea retiformis","AC",""
"22/02/2022","surprise","5",45.150985,-12.630245,5.2,"Isopora palifera","FG",""
"22/02/2022","surprise","7",45.150899,-12.630392,5.3,"Pocillopora damicornis","SB",""
"22/02/2022","airport","8",45.279375,-12.824483,2.7,"Porites cylindrica/nigrescens","SB",""
"22/02/2022","airport","1",45.279395,-12.824481,1.4,"Acropora humilis","FG",""
"22/02/2022","airport","2",45.279409,-12.824458,1.3,"Acropora humilis","FG",""
"22/02/2022","airport","3",45.27939,-12.824451,1.5,"Acropora humilis","FG",""
"22/02/2022","airport","5",45.279411,-12.824446,3.1,"Acropora humilis","FG",""
"22/02/2022","airport","7",45.27943,-12.824451,1.8,"Porites cylindrica/nigrescens","SB",""
"22/02/2022","airport","13",45.279452,-12.824514,2,"Porites lutea","AC",""
"22/02/2022","airport","15",45.279434,-12.824526,2.8,"Porites lutea","AC",""
"22/02/2022","airport","12",45.279431,-12.824498,2.3,"Porites lutea","AC",""
"22/02/2022","airport","14",45.279432,-12.824473,2.2,"Porites lutea","AC",""
"22/02/2022","airport","9",45.279406,-12.824489,2.3,"Porites cylindrica/nigrescens","SB",""
"22/02/2022","airport","10",45.2794,-12.824495,1.9,"Porites cylindrica/nigrescens","SB",""
"22/02/2022","airport","6",45.279409,-12.82451,2.1,"Porites cylindrica/nigrescens","SB",""
"22/02/2022","airport","4",45.279411,-12.824509,2.8,"Acropora humilis","FG",""
"22/02/2022","airport","11",45.279431,-12.824473,2.8,"Porites lutea","AC","Sable"
"21/02/2022","ileblanche","1",45.171445,-12.715693,-2.8,"Ac. Sp","FG",NA
"21/02/2022","ileblanche","2",45.171497,-12.715714,-2.7,"Ac. Sp","FG",NA
"21/02/2022","ileblanche","11",45.171461,-12.715676,-2.3,"Platygyra daedalea","AC",NA
"21/02/2022","ileblanche","6",45.171461,-12.715666,-2.5,"Pori. cylind.","SB",NA
"21/02/2022","ileblanche","9",45.171448,-12.715671,-2.8,"Pori. cylind.","SB",NA
"21/02/2022","ileblanche","7",45.171453,-12.715655,-2.8,"Pori. cylind.","SB",NA
"21/02/2022","ileblanche","4",45.171503,-12.71568,-2.4,"Ac. Sp","FG",NA
"21/02/2022","ileblanche","8",45.171537,-12.715662,-2.7,"Pori. cylind.","SB",NA
"21/02/2022","ileblanche","3",45.171533,-12.715654,-2.8,"Ac. Sp","FG",NA
"21/02/2022","ileblanche","13",45.171582,-12.715704,-2.2,"Platygyra daedalea","AC",NA
"21/02/2022","ileblanche","14",45.171537,-12.715732,-2.5,"Platygyra daedalea","AC",NA
"21/02/2022","ileblanche","15",45.171481,-12.715698,-2.5,"Platygyra daedalea","AC",NA
"21/02/2022","ileblanche","5",45.171505,-12.715645,-2.6,"Ac. Sp","FG",NA
"21/02/2022","ileblanche","12",45.171481,-12.715675,-2.6,"Platygyra daedalea","AC",NA
"21/02/2022","ileblanche","10",45.171524,-12.715618,-2.7,"Pori. cylind.","SB",NA
"21/02/2022","ileblanche","16",45.171451,-12.715689,-1.6,"Echinopora lamellosa","AC",NA
"21/02/2022","ileblanche","17",45.171516,-12.715636,-1.7,"Echinopora lamellosa","AC",NA
"21/02/2022","ileblanche","18",45.171535,-12.715655,-1.6,"Echinopora lamellosa","AC",NA
"23/02/2022","jollyroger","4",45.215133,-12.89011,2.3,"Acropora humilis","FG",""
"23/02/2022","jollyroger","6",45.215121,-12.890163,2.6,"Echinopora gemmacea","SB",""
"23/02/2022","jollyroger","12",45.215115,-12.890165,2.5,"Platygyra daedalea","AC",""
"23/02/2022","jollyroger","5",45.215115,-12.890165,3,"Acropora humilis","FG",""
"23/02/2022","jollyroger","8",45.215124,-12.890169,3,"Echinopora gemmacea","SB",""
"23/02/2022","jollyroger","9",45.215087,-12.890198,2.5,"Echinopora gemmacea","SB",""
"23/02/2022","jollyroger","1",45.215081,-12.890167,2.3,"Acropora humilis","FG",""
"23/02/2022","jollyroger","15",45.215068,-12.890164,1.9,"Favia sp.","AC","unsure"
"23/02/2022","jollyroger","11",45.215066,-12.890164,2.2,"Platygyra daedalea","AC",""
"23/02/2022","jollyroger","2",45.215081,-12.890158,3.9,"Acropora humilis","FG",""
"23/02/2022","jollyroger","3",45.215089,-12.890158,3.9,"Acropora humilis","FG",""
"23/02/2022","jollyroger","7",45.215094,-12.890164,3,"Echinopora gemmacea","SB",""
"23/02/2022","jollyroger","10",45.215122,-12.890174,3.1,"Echinopora gemmacea","SB",""
"23/02/2022","jollyroger","14",45.215112,-12.890185,2.3,"Favia sp.","AC","unsure"
"23/02/2022","jollyroger","13",45.215097,-12.890127,1.6,"Platygyra daedalea","AC",""
"24/02/2022","ngouja","16",45.085309,-12.965028,3,"Echinopora gemmacea","AC",""
"24/02/2022","ngouja","6",45.085322,-12.965116,6.2,"Porites nigrescens","SB",""
"24/02/2022","ngouja","9",45.085297,-12.965078,4.4,"Porites nigrescens","SB",""
"24/02/2022","ngouja","8",45.085322,-12.965073,4.2,"Porites nigrescens","SB",""
"24/02/2022","ngouja","5",45.085317,-12.965074,4.5,"Isopora palifera","FG",""
"24/02/2022","ngouja","15",45.085298,-12.965079,5,"Porites lutea","AC",""
"24/02/2022","ngouja","20",45.0853,-12.965068,5.3,"Echinopora gemmacea","AC",""
"24/02/2022","ngouja","11",45.08526,-12.965038,3.6,"Porites lutea","AC",""
"24/02/2022","ngouja","12",45.085251,-12.965058,4.3,"Porites lutea","AC",""
"24/02/2022","ngouja","4",45.085267,-12.965046,3.9,"Isopora palifera","FG",""
"24/02/2022","ngouja","18",45.085264,-12.965039,3.7,"Echinopra gemmacea","AC",""
"24/02/2022","ngouja","17",45.085287,-12.96505,3.6,"Echinopra gemmacea","AC",""
"24/02/2022","ngouja","7",45.085313,-12.965049,3.9,"Porites nigrescens","SB",""
"24/02/2022","ngouja","13",45.085266,-12.965008,4.8,"Porites lutea","AC",""
"24/02/2022","ngouja","20",45.085298,-12.964999,4.2,"Isopora palifera","FG",""
"24/02/2022","ngouja","3",45.085287,-12.965003,3.8,"Isopora palifera","FG",""
"24/02/2022","ngouja","1",45.085333,-12.965041,4.1,"Isopora palifera","FG",""
"24/02/2022","ngouja","14",45.085296,-12.965011,4,"Porites lutea","AC",""
"24/02/2022","ngouja","10",45.085237,-12.965006,5.6,"Porites nigrescens","SB",""
"24/02/2022","ngouja","19",45.085358,-12.965077,4,"Echinopora gemmacea","AC",""
